"","name","address","rating","lon","lat","subway","subway_dist","busstop","busstop_dist","href"
"1","Мини Лента","Воронцовский бул., 16, корп. 1, Мурино, Россия",4.1,"30.425064","60.061987","Девяткино",NA,"Графская улица",230,"https://yandex.ru/maps/org/mini_lenta/202409340664/"
"2","Мини Лента","Заречная ул., 41, посёлок Парголово, Россия",4.1,"30.342542","60.082017","Парнас",NA,"Улица Фёдора Абрамова",150,"https://yandex.ru/maps/org/mini_lenta/200024241771/"
"3","ВкусВилл","Туристская ул., 24/42, Санкт-Петербург, Россия",4.4,"30.208034","60.000393","Беговая",NA,"Туристская улица",190,"https://yandex.ru/maps/org/vkusvill/196876052833/"
"4","Мини Лента","Туристская ул., 26, стр. 1, Санкт-Петербург, Россия",4.2,"30.208526","60.001828","Беговая",NA,"Туристская улица",42,"https://yandex.ru/maps/org/mini_lenta/27049865707/"
"5","Мини Лента","ул. Маршала Казакова, 58, Санкт-Петербург, Россия",4.3,"30.190556","59.862832","Проспект Ветеранов",NA,"Проспект Кузнецова",130,"https://yandex.ru/maps/org/mini_lenta/52064135438/"
"6","ВкусВилл","Дальневосточный просп., 25, корп. 1, Санкт-Петербург, Россия",4.3,"30.453328","59.904058","Улица Дыбенко",NA,"Улица Антонова-Овсеенко",150,"https://yandex.ru/maps/org/vkusvill/243573731315/"
"7","ВкусВилл","Комендантский просп., 67, Санкт-Петербург, Россия",4.3,"30.225578","60.03771","Комендантский проспект",NA,"Плесецкая улица",80,"https://yandex.ru/maps/org/vkusvill/196267874712/"
"8","ВкусВилл","Богатырский просп., 54/32с3, Санкт-Петербург, Россия",4.3,"30.21098","60.005935","Беговая",NA,"Богатырский проспект",92,"https://yandex.ru/maps/org/vkusvill/231757246658/"
"9","ВкусВилл","Наличная ул., 44, корп. 1, Санкт-Петербург, Россия",3.8,"30.232891","59.952074","Приморская",520,"Универсам",120,"https://yandex.ru/maps/org/vkusvill/73568385201/"
"10","Винлаб","Воронцовский бул., 22, Мурино, Россия",4.4,"30.429554","60.067508","Девяткино",NA,"Воронцовский бульвар",130,"https://yandex.ru/maps/org/vinlab/102887704558/"
"11","Верный","Воронцовский бул., 20, корп. 1, Мурино, Россия",4.1,"30.428556","60.066203","Девяткино",NA,"Воронцовский бульвар",280,"https://yandex.ru/maps/org/verny/65747803155/"
"12","Фасоль","Воронцовский бул., 23/11, Мурино, Россия",4.3,"30.428504","60.068486","Девяткино",NA,"Воронцовский бульвар",170,"https://yandex.ru/maps/org/fasol/12121575606/"
"13","EUROSPAR","просп. Маршака, 3, Санкт-Петербург, Россия",4.9,"30.444864","60.035938","Девяткино",2000,"Проспект Маршака",380,"https://yandex.ru/maps/org/eurospar/101224670692/"
"14","EUROSPAR","Выборгское ш., 15, Санкт-Петербург, Россия",4.9,"30.312662","60.052691","Проспект Просвещения",NA,"Шуваловское кладбище",300,"https://yandex.ru/maps/org/eurospar/64760573151/"
"15","Колхоз","ул. Шувалова, 11, Мурино, Россия",4.4,"30.428128","60.057603","Девяткино",NA,"Петровский бульвар",55,"https://yandex.ru/maps/org/kolkhoz/80177438468/"
"16","Колхоз","бул. Менделеева, 11, корп. 1, Мурино, Россия",4.5,"30.428061","60.052796","Девяткино",910,"ЖК GreenЛандия",120,"https://yandex.ru/maps/org/kolkhoz/158402556681/"
"17","ВкусВилл","ул. Шувалова, 11, Мурино, Россия",4.3,"30.427547","60.056786","Девяткино",NA,"Петровский бульвар",120,"https://yandex.ru/maps/org/vkusvill/89804519158/"
"18","Светофор","Шоссейная ул., 1, посёлок Бугры, Россия • эт. 1",4.4,"30.392361","60.062724","Девяткино",4000,"Гипермаркет Лента",360,"https://yandex.ru/maps/org/svetofor/225399977366/"
"19","ВкусВилл","Учительская ул., 18, корп. 1, Санкт-Петербург, Россия",4.4,"30.405241","60.032218","Гражданский проспект",NA,"Учительская улица",170,"https://yandex.ru/maps/org/vkusvill/210232066747/"
"20","Красный дракон","Комендантский просп., 25, корп. 1, Санкт-Петербург, Россия • 12 мин. от ст. м. Комендантский проспект",4.9,"30.25161","60.015522","Комендантский проспект",880,"Долгоозёрная улица",170,"https://yandex.ru/maps/org/krasny_drakon/84013961511/"
"21","Винлаб","Петровский бул., 2, корп. 1, Мурино, Россия",4.2,"30.438271","60.056439","Девяткино",840,"Петровский бульвар",160,"https://yandex.ru/maps/org/vinlab/156000578985/"
"22","Верный","ул. Шувалова, 19, корп. 1, Мурино, Россия",4,"30.431136","60.061121","Девяткино",NA,"Графская улица",120,"https://yandex.ru/maps/org/verny/91092175614/"
"23","Metro Cash & Carry","просп. Косыгина, 4, Санкт-Петербург, Россия",4.6,"30.456176","59.94083","Ладожская",NA,"Улица Передовиков",690,"https://yandex.ru/maps/org/metro_cash_carry/1073755962/"
"24","Перекрёсток","просп. Науки, 23, Санкт-Петербург, Россия",4.3,"30.40216","60.0109","Академическая",490,"Улица Бутлерова",230,"https://yandex.ru/maps/org/perekryostok/1500815218/"
"25","Кефир","Воронцовский бул., 22, Мурино, Россия",4.1,"30.42907","60.066922","Девяткино",NA,"Воронцовский бульвар",200,"https://yandex.ru/maps/org/kefir/47958525863/"
"26","Колхоз","ул. Фёдора Абрамова, 21, корп. 2, посёлок Парголово, Россия",4.7,"30.34442","60.079315","Парнас",NA,"Улица Фёдора Абрамова,18",130,"https://yandex.ru/maps/org/kolkhoz/1767562746/"
"27","Магазин Купцов Елисеевых","Невский просп., 56, Санкт-Петербург, Россия",5,"30.337991","59.934129","Гостиный двор",270,"Станция метро Гостиный двор",42,"https://yandex.ru/maps/org/magazin_kuptsov_yeliseyevykh/1205135927/"
"28","Градусы","ул. Шоссе в Лаврики, 83, Мурино, Россия",4.4,"30.458302","60.063162","Девяткино",NA,"ЖК Тридевяткино царство",170,"https://yandex.ru/maps/org/gradusy/1737727825/"
"29","Икра и Рыба","Привокзальная площадь, 3И, Мурино, Россия",4.6,"30.444561","60.051301","Девяткино",91,"Станция метро Девяткино",65,"https://yandex.ru/maps/org/ikra_i_ryba/2176535618/"
"30","ВкусВилл","ул. Шувалова, 5, Мурино, Россия",4.3,"30.424609","60.053193","Девяткино",NA,"ЖСК GreenЛандия",69,"https://yandex.ru/maps/org/vkusvill/149670539123/"
"31","Sono Italiano","Большая Зеленина ул., 34, Санкт-Петербург, Россия • Вход с улицы Резная",5,"30.283906","59.964631","Чкаловская",670,"Барочная улица",160,"https://yandex.ru/maps/org/sono_italiano/193672608848/"
"32","Росомаха Корея маркет","Петровский бул., 11, корп. 1, Мурино, Россия",4.1,"30.425926","60.058068","Девяткино",NA,"Петровский бульвар",190,"https://yandex.ru/maps/org/rosomakha_koreya_market/31724296101/"
"33","ИКЕА","Россия, Ленинградская область, Всеволожский район, Бугровское сельское поселение, КАД, 117-й километр, внешнее кольцо, 1 • этаж 1",4.7,"30.379405","60.092636","ТРК Мега-Парнас",420,"ТРК Мега-Парнас",420,"https://yandex.ru/maps/org/ikea/1758833422/"
"34","Llamas Vegan Shop","ул. Пестеля, 11, Санкт-Петербург, Россия • этаж цокольный",4.9,"30.34235","59.942426","Чернышевская",NA,"Моховая улица",230,"https://yandex.ru/maps/org/llamas_vegan_shop/167056436592/"
"35","Nature","Центральная ул., 44, д. Корабсельки, Россия",4.7,"30.411143","60.102096","Корабсельки",340,"Корабсельки",340,"https://yandex.ru/maps/org/nature/183844614534/"
